SMILES,num_atoms,U0,gap
CC12CN1C1CC21,16,-288.55545,0.2935
COC(=O)C(C)C#C,16,-383.7402,0.2637
OC(C#C)(C#C)C#N,11,-360.17163,0.2584
OC1=NC=NC(O)=N1,11,-430.7992,0.2398
OC1=NC=COC1=N,12,-414.68524,0.169
FC(F)(F)F,5,-437.48486,0.6221
CC(C#C)C#CC=O,14,-345.3443,0.2044
CCCC(O)C(C)O,22,-387.3505,0.3187
CC#CCC(C)CO,20,-348.9838,0.3006
O=CNC1CC(=O)C1,15,-399.82996,0.2159
CC#CC#CCO,13,-307.26535,0.2161
COC1=NON=N1,10,-392.56332,0.2195
CCC1CC(C)(C)C1,24,-314.27945,0.3577
NCC(CC#N)C#N,15,-358.8622,0.2761
N#CC1=CC=NN1,10,-318.39087,0.2236
NC1=C(N)N=CO1,12,-356.7161,0.2186
OCCC#N,10,-247.21445,0.3237
CC1C=C(C)CC1=O,18,-347.85107,0.2226
NC(=O)CNCC=O,16,-417.0844,0.2171
CCC(CC)C=O,19,-310.9412,0.2263
OC1=NNC(=O)N1,10,-392.67612,0.2616
CC(OC(C)=O)C=O,16,-420.92786,0.2291
OC1=CNC(C=O)=N1,12,-414.7067,0.1647
CC1(O)CNCC1=O,17,-401.01596,0.1933
O=CNCC1CC1,16,-325.78955,0.281
O=C1OC=NC=C1,10,-359.36905,0.1966
N=COC(C#C)C#C,13,-361.3687,0.265
CCC(C)C(=O)C#C,18,-347.79257,0.2043
OCC1CC1(O)C#N,15,-399.78552,0.2805
CC1C2N3CC2(C)C13,19,-327.83768,0.3165
C#CC(CC#N)C#N,12,-340.36728,0.2932
CC1(O)CC2CC1O2,18,-384.92105,0.3163
CCC(C)(O)COC,22,-387.34024,0.3304
CCC1CNC1=O,16,-325.80588,0.2804
COCC(C)(O)C#N,17,-400.9987,0.3049
CCC(=O)C(=O)CO,16,-420.899,0.1577
OCC1OCCO1,15,-382.783,0.3248
O=C1CC23CC(O2)C13,14,-382.4233,0.2217
CCC(CC#N)C#C,17,-326.7154,0.3061
CC1C2C3OC2C13,15,-308.4208,0.3061
NC1=CN=CC=C1O,14,-378.78104,0.2044
CC12CC(O)(C1)CO2,18,-384.92462,0.3015
CCN1CC1C=O,16,-325.754,0.2103
CC1CCCC(=O)N1,19,-365.12488,0.2673
CC12CC(C1)C(=O)O2,16,-383.76865,0.2765
CC1COC(C)=N1,16,-325.81006,0.2709
CC1(CO)OC1C#N,15,-399.78687,0.2777
CC1(O)CC1(C)C#N,17,-363.86853,0.312
CCC1=CN=CO1,14,-324.61633,0.2423
CC1=CC(O)CC1,17,-309.73795,0.2583
O=CNC1CCC1,16,-325.79453,0.2799
O=CC1COC1,12,-306.3472,0.2215
OCC1=CC=NC=C1,15,-362.71378,0.2301
COC(C=O)C#CC,16,-383.70456,0.2038
CC#CC(O)CC=O,16,-383.71872,0.2197
CC1NC11CC(=O)C1,17,-363.8468,0.2162
CC(C#N)N(C)C,17,-305.898,0.2563
O=C1CC2CN12,11,-285.26715,0.2378
COCC1(C)CC1O,20,-386.11365,0.295
O=C1CC(C1)C#C,13,-307.29135,0.2209
CC12CC1(C)C(=N)O2,17,-363.8507,0.2786
N=COC=O,8,-283.15665,0.2636
OC12CC(O)(C1)CC2,18,-384.93176,0.3265
OCCC1(O)COC1,18,-422.04163,0.3112
C1C2C3CCC2C13,17,-272.5508,0.3897
C1C2C3OCC1C23,15,-308.48352,0.3208
CC(C)(OC=O)C=O,16,-420.91003,0.2242
CNC(=O)COC=N,16,-417.0786,0.2546
CC1(O)CC1(C)C=O,18,-384.9435,0.2291
CCC(OC)C#C,17,-309.67694,0.3014
CC(=O)N(C=O)C=O,13,-435.79675,0.2125
CC1C=CC2CC12,17,-272.58282,0.2472
COC(C)(C)CC=O,20,-386.14606,0.2231
CC(C)CCCO,21,-312.12634,0.3422
O=CN1CC1C#N,11,-339.4311,0.2512
CC1(OC1CO)C#C,16,-383.67935,0.281
CC1C2CC2C1=O,15,-308.5121,0.227
OC(CC=O)C#N,12,-360.52295,0.2293
OC1C2CC2C1=O,13,-344.4348,0.2145
CC12CC1CC2,16,-234.47495,0.338
CCC(=O)C(O)C#N,15,-399.82745,0.2377
OCC1(O)COC1,15,-382.75677,0.298
COC1=COC=N1,12,-360.52924,0.2194
CC(O)C(C)CC#C,20,-348.9786,0.312
OC(C=O)C1CO1,13,-381.5663,0.231
O=C(NCC#C)C#C,13,-361.41394,0.2302
NC1=C(N=CN1)C#N,12,-373.7544,0.2189
COC(=N)NC(C)=O,16,-417.10788,0.2489
CC1C2COC12,14,-270.38495,0.3148
OC1=C(NC=N1)C=O,12,-414.71872,0.184
CC(C)CN(C)C=O,21,-366.29874,0.2716
CC#CCOC=N,14,-324.54346,0.2803
CCC(CC)CC#N,21,-329.15775,0.348
OC1C2CC(=O)C12,13,-344.43625,0.2306
CC(=O)C1(O)CCC1,18,-384.951,0.2285
NC(C#N)C#CCO,14,-378.67767,0.2658
C1CC2=C(N1)NC=C2,16,-342.80875,0.2252
COCC(C)=O,14,-307.57193,0.2347
O=C1CC2NC12,11,-285.25388,0.2224
OCC1=NC(O)=CO1,13,-435.7604,0.2227
COC1CC1C#N,14,-324.56375,0.2912
C1C2CC3CC2C13,17,-272.55145,0.3728
O=CC1=COC(=O)O1,10,-454.46466,0.1892
CCC(O)C(=O)C#N,15,-399.8203,0.1914
OC(CC=O)C=O,13,-381.60242,0.2048
OC1(CC1)C#CC=O,14,-382.49667,0.2003
NC1=C(O)N=CO1,11,-376.59406,0.2146
CC12CC3CC(C1)N23,19,-327.88254,0.2964
O1C2C3OC2C13,10,-305.03665,0.2942
CC(N)(CO)C#N,15,-341.84302,0.2988
CC1C(C#N)C1(C)C,19,-327.9472,0.3093
CCCC(C)(C)O,21,-312.13605,0.3252
CN(CC=O)CC#N,16,-379.9189,0.2116
NC1=NCC(=O)N1,12,-356.75253,0.2392
C1C2C1C1CC21,14,-233.21913,0.2941
CC#CC(C)C(N)=O,17,-363.88306,0.2691
CC12CC1N=CO2,14,-324.57755,0.2603
C1OC1C1CCC1,17,-309.68353,0.3485
CN1C=CC(N)=C1C,18,-344.01843,0.2252
CN(C)C(=O)NC=N,17,-397.221,0.2501
CC#CC1=CN=CN1,14,-341.60706,0.2055
CC(C#C)C(C)=NO,17,-363.79443,0.2557
CC1C(=O)NC1(C)C,19,-365.10254,0.2789
CC1(C)NC(=O)C=C1,17,-363.92093,0.2149
CC1=CN=C(O)N1,13,-340.6854,0.2474
NC1=NCC2OC12,13,-340.6256,0.2466
