SMILES,num_atoms,U0,gap
CN1C(=N)NCC1=O,15,-396.04257,0.2443
O=C1NC=CC2CN12,14,-378.73914,0.209
C1COC=NCCO1,17,-400.98306,0.2583
CC1=C(NC(N)=N1)C#N,15,-413.05917,0.1989
CCC1CN1CC=O,19,-365.03918,0.2162
NC1=NNN=C1C=O,12,-410.849,0.1827
CC1OC(=O)C1C#N,13,-398.63925,0.2779
O=C1NCC=CN1,13,-340.6895,0.2248
CCCC1=CC=CO1,18,-347.8444,0.2354
OC1CCC1C=O,15,-345.64523,0.2257
CC1CC=CCC=C1,20,-311.88132,0.2538
CNC1=COC=C1,14,-324.58954,0.221
COCC#CC#CC,16,-346.54666,0.2173
O=CNC1=NC=NC=N1,13,-449.0028,0.2075
C#CC1=NC(=CN1)C#N,12,-394.55112,0.205
O=CN1CCNC1=O,14,-415.92474,0.239
NC1=CON=C1C#C,12,-377.473,0.1882
CC1C2C1C1CCC21,20,-311.8185,0.3177
CN=C1OC=C(N)O1,14,-415.86426,0.2323
CC1CCCC=C1,19,-273.8108,0.2651
CC1(O)C2C3OC1C23,16,-383.66498,0.2989
CNC1=C(N)ON=C1,15,-395.96008,0.2226
CC(C)(O)C1=CC=CO1,19,-423.06192,0.2362
CC1OC(CO)C1=NO,18,-476.15482,0.2399
CC12CC1COCO2,18,-384.9244,0.3128
OC12CCC3C1CC23,18,-347.7708,0.3291
CCC1(CC1O)OC,20,-386.11246,0.3214
COC1C2CC1C2O,18,-384.8714,0.3208
CN=C1NC=C(N)O1,15,-395.99155,0.2251
OC1C2CCC1C2O,18,-384.9226,0.3195
OC1=CC(O)=CN1,12,-360.53516,0.2362
O=COCC1=CNC=N1,15,-453.9998,0.2426
CN1C(C#C)C1(C)C,19,-327.87094,0.2557
CN1C=NC(C)=N1,14,-320.79425,0.2646
CCOC(=O)C(C)N,19,-402.23727,0.2586
CN1C=C(C)C(=C1)C#C,18,-364.82767,0.2172
CCC1OC1CO,17,-346.8317,0.3411
COC(C)(C)C(C)=NO,22,-441.44208,0.2558
CN1C=C(N=C1C)C#C,17,-380.88852,0.2174
CNC(=O)CCC=O,17,-401.04388,0.2301
CC1=CC(O)CC1,17,-309.73795,0.2583
O=CC1CCCCO1,18,-384.96136,0.2265
CCC(C)C(C)C,23,-276.202,0.3822
CN1N=CN=C1CO,15,-396.00156,0.2543
OCC#CC#CC#C,12,-344.11838,0.1796
O=CC12CC1CCC2,18,-347.82693,0.2313
NC(=O)N1C=CN=N1,12,-410.8778,0.2307
OCC(O)C(=O)C=O,14,-456.81747,0.1487
CC#CC1=CC=C(C)N1,18,-364.84482,0.1943
CNC1=C(C)OC=N1,16,-379.95175,0.2023
CC1C2C3CC1C23O,18,-347.74814,0.3052
CC1C2OCC2N1C,19,-365.0127,0.2871
CC1=CC=NC(=N)N=C1,16,-396.94687,0.1687
C#CC#CC1CC1,13,-270.11703,0.2179
NC(=O)N1C2CC1C2,16,-379.88696,0.2746
COC(CC=O)C#N,15,-399.80276,0.2233
N#CCN1C2CCC12,16,-342.74295,0.2873
CC1=CNC2=C1OC=C2,16,-400.7921,0.2032
OC1=C(OC=N1)C=O,11,-434.5784,0.1886
CNC(=O)C1=CN=CN1,16,-434.13425,0.214
FC1=CN=C(F)C=N1,10,-462.75797,0.2015
CC1=NC=C(N)C(C)=N1,18,-398.20236,0.1928
CC(C#N)C(O)C#N,14,-378.74045,0.3082
CC12OCC1C1OC21,16,-383.66916,0.3002
CC1C2OC1C2CO,18,-384.85837,0.3031
CC1=CNC=C1C1CO1,18,-401.96515,0.2445
O=CN1N=NOC1=O,9,-466.64105,0.2215
CNC1(CC1O)C#N,16,-379.89944,0.258
CCCC(C)OC,21,-312.1231,0.3341
CC1(C)C2CCCC12,22,-313.08066,0.3317
C#CC1C2CC1C2=O,14,-345.33087,0.2486
CC1OC(=N)OC1C,17,-401.034,0.308
C1NC1C1=CN=NN1,14,-374.8682,0.2435
CC(=O)N1CC1,13,-286.49237,0.253
C1CC1N1C=CN=N1,15,-358.82242,0.2543
CC#CCCCC#N,17,-326.72717,0.2806
COC(=O)C(C)C#C,16,-383.7402,0.2637
CC1(C)CCC1O,19,-310.9154,0.3296
CC1CC(C)(O1)C#C,18,-347.76376,0.2839
ON=C1C2NC2C1O,14,-415.7523,0.2345
CC1(C)CC(O)C1=NO,20,-440.23627,0.2454
CC1=C2OC=NC2=CO1,14,-436.71393,0.1882
CN1C=C(C=C1O)C#N,15,-416.8609,0.2092
O=C1CC(CO1)C#N,13,-398.65723,0.277
O=C1NC=C2CC=CN12,15,-416.87244,0.185
NC1=CN=NOC1=O,11,-430.70898,0.1774
CN1C=C(O)C(C)=C1C,20,-403.18976,0.2285
O=C1C2CNCC1O2,15,-399.78067,0.2147
CC(O)C1(CO1)C#C,16,-383.68213,0.2791
N#CCCCC1CO1,17,-363.85852,0.3101
N#CC1=NNC=N1,9,-334.44727,0.2445
CC12CC3C(O1)C23,15,-308.4554,0.3119
O=C1CN2C=CN=C2O1,13,-452.809,0.1995
